Subject,Topic,Difficulty,Marks,Question,Correct_Answer,Option1,Option2,Option3
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Hard,1,What was the name of Jonny's pet dog in The Adventures of Jonny Quest?,Bandit,Lucky,Rocky,Max
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,Battlefield,Call of Duty,Borderlands
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Sid Meier's Civilization V, which World Wonder can only be built in cities on or next to a desert?",Petra,The Pyramids,Alhambra,Mausoleum of Maussollos
Entertainment: Film,Entertainment: Film,Easy,1,What is the name of the fictional retro-mod band starring Austin Powers as the lead vocalist?,Ming Tea,Cough Fi,Spear Mint,Mister E
Entertainment: Video Games,Entertainment: Video Games,Medium,1,Which of these is NOT a name of a city in the main island of PLAYERUNKNOWN'S BATTLEGROUNDS?,Belushya Guba,Yasnaya Polyana,Pochinki,Georgopol
General Knowledge,General Knowledge,Medium,1,What is the last letter of the Greek alphabet?,Omega,Mu,Epsilon,Kappa
Science: Mathematics,Science: Mathematics,Hard,1,The French mathematician Évariste Galois is primarily known for his work in which?,Galois Theory,Galois' Continued Fractions,Galois' Method for PDE's ,Abelian Integration
Geography,Geography,Easy,1,Which of these is the name of the largest city in the US state Tennessee?,Memphis,Thebes,Alexandria,Luxor
Entertainment: Music,Entertainment: Music,Medium,1,Korean girl group TWICE is under which Entertainment Label?,JYP,MBK,YG,Stone Music
History,History,Easy,1,When did the Byzantine Empire collapse?,1453,1299,1353,1498
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,Kirito and Asuna are main characters from which anime?,Sword Art Online,One Piece,Death Note,Fairy Tail
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In the video game Undertale, what Fun Value is required to obtain the Fake Hallway?",66,91,45,39
Entertainment: Television,Entertainment: Television,Easy,1,"Who played Agent Fox Mulder in the TV sci-fi drama ""The X-Files""?",David Duchovny,Gillian Anderson,Robert Patrick,Mitch Pileggi
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"The rights to the ""Rayman"" series are owned by which company?",Ubisoft,Nintendo,EA,Sony
Geography,Geography,Hard,1,In which country is Tallinn located?,Estonia,Finland,Sweden,Poland
Entertainment: Comics,Entertainment: Comics,Medium,1,"In the DC Comics 2016 reboot, Rebirth, which speedster escaped from the Speed Force after he had been erased from existance?",Wally West,Johnny Quick,Jay Garrick,Eobard Thawne
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""Little Lost Girl""?",Origins,Revelations,Moon,Tranzit
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Hard,1,"Which of the following films was Don Bluth both the writer, director, and producer for?",All Dogs Go To Heaven,Titan A.E.,Anastasia,The Land Before Time
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Who is the main protagonist of Dead Space?,Isaac Clarke,Commander Shepard,Gordon Freeman,Master Chief
History,History,Medium,1,All of the following are names of the Seven Warring States EXCEPT:,Zhai (翟),Zhao (趙),Qin (秦),Qi (齊)
Entertainment: Video Games,Entertainment: Video Games,Easy,1,What's the Team Fortress 2 Scout's city of origin?,Boston,Sydney,Detroit,New York
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Easy,1,"Which of these characters from ""SpongeBob SquarePants"" is not a squid?",Gary,Orvillie,Squidward,Squidette
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What was the main currency in Club Penguin?,Coins,Stamps,Tickets,Gems
Science: Computers,Science: Computers,Hard,1,"Who invented the ""Spanning Tree Protocol""?",Radia Perlman,Paul Vixie,Vint Cerf,Michael Roberts
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,In the anime Seven Deadly Sins what is the name of one of the sins?,Diane,Sakura,Ayano,Sheska
Science &amp; Nature,Science &amp; Nature,Medium,1,Gannymede is the largest moon of which planet?,Jupiter,Uranus,Neptune,Mars
Geography,Geography,Medium,1,Which of these countries is located the FURTHEST away from the South China Sea?,Bangladesh,Malaysia,Vietnam,Philippines
Animals,Animals,Medium,1,What is the collective noun for bears?,Sloth,Drove,Tribe,Husk
History,History,Medium,1,The United States Army Air Corps became the United States Air Force on what date?,"September 18, 1947","December 14, 1946","October 27, 1945","November 08, 1944"
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Skylanders Giants, why was Zaps' Wow Pow named ""For Riley"" ?",As a tribute to a fan who passed away,As a reference to a film,After one of the writers of the game,After a voice actor
Science &amp; Nature,Science &amp; Nature,Easy,1,Who is the chemical element Curium named after?,Marie & Pierre Curie,The Curiosity Rover,Curious George,Stephen Curry
Entertainment: Music,Entertainment: Music,Easy,1,"Which rap group released the album ""Straight Outta Compton""?",N.W.A,Wu-Tang Clan,Run-D.M.C.,Beastie Boys
History,History,Hard,1,Which English king was married to Eleanor of Aquitaine?,Henry II,Richard I,Henry I,Henry V
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"Who is the main character in ""The Stanley Parable""?",Stanley,The Adventure Line,The Narrator,The Boss
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Which of the following characters is NOT a female marriage candidate in the game Stardew Valley?,Caroline,Abigail,Haley,Leah
General Knowledge,General Knowledge,Medium,1,What was the soft drink Pepsi originally introduced as?,Brad's Drink,Pepsin Pop,Carolina Cola,Pepsin Syrup
Entertainment: Books,Entertainment: Books,Medium,1,"In the Lord of the Rings, who is the father of the dwarf Gimli?",Gloin,Thorin Oakenshield,Bombur,Dwalin
History,History,Medium,1,Who was the first president born in the independent United States?,Martin Van Buren,John Adams,George Washington,James Monroe 
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"In the anime series ""Full Metal Alchemist"", what do Alchemists consider the greatest taboo?",Human Transmutation ,Transmuting Lead Into Gold,Using Alchemy For Crime ,Preforming Without A Permit
Sports,Sports,Easy,1,How many soccer players should be on the field at the same time?,22,20,24,26
Entertainment: Film,Entertainment: Film,Easy,1,"In ""Jurassic World"", what is the name of the dinosaur that is a genetic hybrid?",Indominus Rex,Mosasaurus,Pteranodon,Tyrannosaurus Rex 
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Hard,1,"Who was the Director of the 1988 Anime film ""Grave of the Fireflies""?",Isao Takahata,Hayao Miyazaki,Satoshi Kon,Sunao Katabuchi
History,History,Hard,1,When was Finland's 100th year of being independent?,2017,2016,2018,2015
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"In ""To Love-Ru: Darkness"", which of the girls attempt making a harem for Rito Yuuki?",Momo Deviluke,Yami (Golden Darkness),Haruna Sairenji,Mea Kurosaki
Entertainment: Television,Entertainment: Television,Medium,1,Which boxing personality was one of the presenters in the 1999 revival of It's a Knockout?,Frank Bruno,Henry Cooper,Muhammad Ali,Joe Fraiser
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"Krusty is the guild master of which guild in ""Log Horizon""?",D. D. D,Silver Sword,West Wind Brigade,Oceanic Systems (Marine Agency)
Entertainment: Board Games,Entertainment: Board Games,Medium,1,Europa Universalis is a strategy video game based on which French board game?,Europa Universalis,Europe and the Universe,Europa!,Power in Europe
Entertainment: Television,Entertainment: Television,Hard,1,"In ""Donkey Kong Country"", why does Donkey Kong want to know the secret of the crystal coconut?",He's the big kahuna.,To find out where all the bananas are.,Because Diddy Kong forced him.,He wants to punish brutes.
Entertainment: Video Games,Entertainment: Video Games,Hard,1,What was the name of Sonic the Hedgehog's original human girlfriend?,Madonna,Celeste,Sierra,Nina
Science &amp; Nature,Science &amp; Nature,Medium,1,"The moons, Miranda, Ariel, Umbriel, Titania and Oberon orbit which planet?",Uranus,Jupiter,Venus,Neptune
Entertainment: Music,Entertainment: Music,Medium,1,Which one of these Rammstein songs has two official music videos?,Du Riechst So Gut,Du Hast,Benzin,Mein Teil
Science &amp; Nature,Science &amp; Nature,Hard,1,Which of the following is considered classical conditioning?,Pavlov's dog experiments,Skinner box experiment,Schrödinger's cat experiment,Harlow’s monkey experiments
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Terraria, what does the Wall of Flesh not drop upon defeat?",Picksaw,Pwnhammer,Breaker Blade,Laser Rifle
